,Fiscal.Year,naics,totaliniaccpt,totaliniden,totalinitial,iaccptperc,,idenperc,
181,2016,32,1059,39,1098,96.44808743,1.264846322,3.551912568,1.264846322
129,2014,23,463,38,501,92.41516966,1.253991151,7.584830339,1.253991151
28,2010,22,299,10,309,96.76375405,1.20819849,3.236245955,1.20819849
156,2015,32,1087,31,1118,97.22719141,1.171262266,2.772808587,1.171262266
138,2014,51,5094,191,5285,96.38599811,1.129529842,3.614001892,1.129529842
6,2009,32,1745,61,1806,96.62236988,1.126094984,3.377630122,1.126094984
179,2016,23,455,40,495,91.91919192,1.09826444,8.080808081,1.09826444
20,2009,62,8425,1288,9713,86.73942139,1.085253931,13.26057861,1.085253931
252,2019,21,215,31,246,87.39837398,1.027551942,12.60162602,1.027551942
77,2012,21,893,20,913,97.8094195,0.900257923,2.190580504,0.900257923
204,2017,23,442,48,490,90.20408163,0.878238936,9.795918367,0.878238936
253,2019,22,191,25,216,88.42592593,0.84422658,11.57407407,0.84422658
131,2014,32,1350,45,1395,96.77419355,0.825215537,3.225806452,0.825215537
153,2015,22,210,10,220,95.45454545,0.811688312,4.545454545,0.811688312
263,2019,51,6929,817,7746,89.45262071,0.772510717,10.54737929,0.772510717
53,2011,22,287,10,297,96.63299663,0.765228038,3.367003367,0.765228038
213,2017,51,6117,265,6382,95.84769665,0.702065579,4.152303353,0.702065579
127,2014,21,509,20,529,96.21928166,0.683373204,3.780718336,0.683373204
262,2019,49,174,22,196,88.7755102,0.677110503,11.2244898,0.677110503
162,2015,49,48,1,49,97.95918367,0.51594765,2.040816327,0.51594765
63,2011,51,4945,162,5107,96.8278833,0.40114592,3.172116703,0.40114592
188,2016,51,5337,218,5555,96.07560756,0.333293078,3.924392439,0.333293078
88,2012,51,5494,130,5624,97.68847795,0.290171117,2.311522048,0.290171117
258,2019,42,946,297,1243,76.10619469,0.257441673,23.89380531,0.257441673
2,2009,21,768,12,780,98.46153846,0.180995475,1.538461538,0.180995475
38,2010,51,4101,143,4244,96.63053723,0.137184572,3.369462771,0.137184572
113,2013,51,4644,151,4795,96.85088634,0.079897766,3.14911366,0.079897766
163,2015,51,5107,134,5241,97.44323602,0.007652657,2.556763976,0.007652657
